"","y.50.comps"
"1461",115623.496836499
"1462",134033.875423774
"1463",187008.161312599
"1464",209139.270410306
"1465",198290.28955557
"1466",176061.595589292
"1467",177834.567369064
"1468",171936.597351199
"1469",185703.23441531
"1470",119117.55175147
"1471",191802.405138871
"1472",90823.8030189095
"1473",90885.8204356436
"1474",147331.394079979
"1475",110933.852835941
"1476",345641.700607692
"1477",238056.25944163
"1478",306817.301087965
"1479",317711.161398545
"1480",429478.221631896
"1481",326249.868260609
"1482",221135.751961954
"1483",176564.392775507
"1484",169389.465602141
"1485",205554.741747831
"1486",197699.446198977
"1487",326533.548703106
"1488",235002.995648739
"1489",174634.317845965
"1490",213403.166452401
"1491",193945.081343309
"1492",87746.2182080075
"1493",192106.382562468
"1494",283581.353130654
"1495",279831.25657199
"1496",216643.747241124
"1497",150249.41657587
"1498",159776.015389229
"1499",162792.181696754
"1500",142732.213113925
"1501",161222.14417606
"1502",150243.775340863
"1503",267790.356211609
"1504",242751.589265123
"1505",212228.897334581
"1506",193946.807193178
"1507",233976.306595017
"1508",215727.740703179
"1509",161140.268024792
"1510",139240.142706487
"1511",151401.354537826
"1512",171256.717558287
"1513",138229.710811503
"1514",153477.942754786
"1515",193157.941096714
"1516",172313.843408737
"1517",162313.316204807
"1518",133162.12290515
"1519",193851.997141443
"1520",127738.49770337
"1521",127204.789452544
"1522",174097.142418166
"1523",106417.443203962
"1524",113282.167426965
"1525",121176.010204111
"1526",121991.754435515
"1527",105194.536522602
"1528",143681.018375933
"1529",130315.813897482
"1530",206720.090856292
"1531",130195.249763238
"1532",99831.6097990885
"1533",138441.198268251
"1534",123685.296572935
"1535",136588.36958642
"1536",116443.54156473
"1537",77303.7432845716
"1538",198357.871591326
"1539",200803.876809899
"1540",93529.3251227157
"1541",131762.801560212
"1542",111541.935245407
"1543",181369.42406436
"1544",90204.5698233427
"1545",124762.937760244
"1546",137195.754615604
"1547",132750.634111768
"1548",127818.03942644
"1549",117705.77797072
"1550",131209.854432439
"1551",102778.249788835
"1552",109861.157365941
"1553",134819.561420323
"1554",111005.772670023
"1555",151395.110035599
"1556",87322.8689462824
"1557",97371.2810498181
"1558",102310.898725286
"1559",74284.0715582723
"1560",135358.779032706
"1561",121188.773730856
"1562",127412.569803024
"1563",112642.777592746
"1564",157393.175421595
"1565",153559.331067267
"1566",238426.711671
"1567",82862.3011307077
"1568",220815.408464372
"1569",128513.013162142
"1570",151055.364837805
"1571",116895.331075266
"1572",137820.196780509
"1573",223634.816236078
"1574",113862.971314243
"1575",207174.393131125
"1576",261378.420623469
"1577",186360.42220906
"1578",155660.776079399
"1579",144007.342533625
"1580",202155.892887872
"1581",154868.277962024
"1582",129518.300714329
"1583",289606.075249941
"1584",213246.609636129
"1585",135875.569146351
"1586",69825.5537732434
"1587",100860.130890951
"1588",148332.92724557
"1589",109507.44828626
"1590",132035.804636532
"1591",88491.3005555887
"1592",126730.684251376
"1593",135610.19126832
"1594",109779.321811152
"1595",90151.9638248128
"1596",220822.469772959
"1597",165215.570069961
"1598",207311.713485169
"1599",186129.262676249
"1600",175775.398973652
"1601",69865.8679333517
"1602",116600.744943416
"1603",82809.2587249755
"1604",256945.19702283
"1605",271776.570940742
"1606",164910.216278885
"1607",175188.218325843
"1608",250151.249858796
"1609",177845.459446734
"1610",150992.796042353
"1611",148428.301523934
"1612",173391.153513925
"1613",166342.255579824
"1614",130118.776869363
"1615",91080.9911119783
"1616",72060.8274192419
"1617",97932.1727957104
"1618",113972.603712233
"1619",144275.615334664
"1620",144683.745911881
"1621",143846.522934662
"1622",148247.307745435
"1623",264922.935942729
"1624",210830.063570431
"1625",116420.877685324
"1626",175763.431923009
"1627",193432.756269901
"1628",285262.222417941
"1629",176397.456120176
"1630",266321.198558992
"1631",225675.213014293
"1632",227249.203137403
"1633",189021.935477233
"1634",200608.518413587
"1635",192950.799128093
"1636",157092.905015247
"1637",220930.777712919
"1638",199505.292830538
"1639",191397.078802749
"1640",238913.541542172
"1641",170066.736770354
"1642",239406.329712115
"1643",211832.211027172
"1644",236379.42760221
"1645",187186.159363767
"1646",171758.504664988
"1647",168404.043137093
"1648",122069.469105044
"1649",141361.758901438
"1650",118883.958776526
"1651",120689.516773494
"1652",94978.6587225329
"1653",101698.882256801
"1654",137012.881808056
"1655",131414.532421295
"1656",139998.840738271
"1657",137358.44344842
"1658",145593.805677103
"1659",121698.536509266
"1660",161595.85721402
"1661",442289.184807738
"1662",354770.65203131
"1663",357489.042430056
"1664",408397.406660856
"1665",301948.58695089
"1666",342724.463606365
"1667",360207.239503986
"1668",345948.069248439
"1669",317522.514415633
"1670",350098.535586014
"1671",242559.928687819
"1672",369485.306963976
"1673",282492.361308353
"1674",249653.894200987
"1675",185986.451062359
"1676",188303.797158157
"1677",220151.157329436
"1678",420807.858374177
"1679",348725.912949174
"1680",321821.355654342
"1681",243128.468589576
"1682",317986.645153903
"1683",179244.658028282
"1684",191859.367012322
"1685",185705.570158889
"1686",180143.142392613
"1687",185809.422619613
"1688",198489.815533908
"1689",205249.114773417
"1690",217341.831258832
"1691",217769.712501055
"1692",296855.57594725
"1693",180449.898233702
"1694",189218.909447386
"1695",165193.932656804
"1696",251794.617329524
"1697",180027.215406301
"1698",322919.60988974
"1699",303194.699987042
"1700",245378.183258729
"1701",271486.824388312
"1702",238678.764873723
"1703",240301.960533036
"1704",274504.62384181
"1705",267375.563113108
"1706",353474.744925716
"1707",193940.816363284
"1708",187597.080977914
"1709",263822.677105954
"1710",215921.086486777
"1711",307706.612337926
"1712",233969.437464922
"1713",246755.751746487
"1714",206951.449648081
"1715",203479.616747207
"1716",179429.089604968
"1717",178878.929065487
"1718",117500.538248695
"1719",199131.160169767
"1720",235273.229261061
"1721",159780.113682291
"1722",115751.098664334
"1723",157160.707147587
"1724",195697.49330885
"1725",231793.907595601
"1726",201706.164969528
"1727",151477.230000592
"1728",186331.320030376
"1729",169642.280251722
"1730",173778.327667701
"1731",121090.258722405
"1732",134106.875993004
"1733",112849.630097272
"1734",120558.74725025
"1735",137575.909364946
"1736",108244.570852628
"1737",353932.540351493
"1738",269591.107790887
"1739",217647.61713968
"1740",177126.162297988
"1741",168960.713071842
"1742",156395.070558975
"1743",181218.838786918
"1744",377942.463414665
"1745",187290.124395904
"1746",179890.927880117
"1747",214221.818762434
"1748",224088.56607831
"1749",137909.272840152
"1750",119680.398071251
"1751",278609.695021286
"1752",118226.923964703
"1753",137279.278703571
"1754",206577.143875333
"1755",164962.96985942
