Id,SalePrice
1461,125765.101274396
1462,153280.007948443
1463,192647.105588292
1464,212715.226442603
1465,198916.894235751
1466,182529.406838711
1467,190022.82671411
1468,163324.635902535
1469,201615.465316134
1470,118647.728431405
1471,201543.979920821
1472,102432.415215147
1473,95516.8459553991
1474,139751.320574723
1475,112410.044176009
1476,388334.281627621
1477,255237.554028401
1478,312288.330693691
1479,275105.589527076
1480,507458.594475921
1481,336403.722391191
1482,209351.379595528
1483,179763.068050452
1484,159581.214380314
1485,188864.026416127
1486,198793.731131987
1487,328796.849638747
1488,238208.637486923
1489,195722.545208297
1490,241900.904869029
1491,187442.226387159
1492,92779.2465266304
1493,177792.37513449
1494,327741.857473988
1495,318882.692620272
1496,234854.226030376
1497,176493.310675925
1498,168338.511114815
1499,165091.464718763
1500,150989.5139561
1501,178956.533292345
1502,148857.220882425
1503,269017.22109679
1504,251842.868522596
1505,238153.077475766
1506,192927.255196119
1507,240258.234999675
1508,207392.037441547
1509,157170.702882133
1510,151365.084613726
1511,170340.361171948
1512,158291.994788971
1513,144280.991866704
1514,144292.247924197
1515,188679.509492035
1516,152963.01196326
1517,165365.542672651
1518,130063.46859561
1519,218037.086511911
1520,122848.20802692
1521,130954.58281254
1522,199025.755535466
1523,111784.520492196
1524,131804.905668252
1525,120212.08965872
1526,125822.666689961
1527,110583.481372351
1528,135928.721747467
1529,161953.182450121
1530,187192.557199302
1531,112009.064985088
1532,103077.029367233
1533,151454.712260882
1534,125584.793900413
1535,153038.136091672
1536,108960.19244376
1537,77064.3656194172
1538,165183.576216529
1539,195891.799780223
1540,80970.5522332847
1541,150227.303124119
1542,135271.880708966
1543,191932.014423038
1544,95441.061991712
1545,123763.877341544
1546,148002.985896635
1547,142722.902334451
1548,150652.210674955
1549,130783.029964611
1550,153397.884043235
1551,107140.405820289
1552,131575.61746526
1553,155356.507672349
1554,123272.370284353
1555,159055.112160773
1556,76766.1387294545
1557,110633.890777031
1558,96190.452412931
1559,110616.817384337
1560,139145.87168699
1561,120283.087433864
1562,135706.790298132
1563,121104.810812913
1564,169119.780778356
1565,155323.035319208
1566,248532.409315702
1567,69655.665130717
1568,253271.209759496
1569,140325.991049335
1570,135072.355220749
1571,120266.202599881
1572,128975.800466349
1573,203459.20718772
1574,103293.270123436
1575,194747.140486458
1576,269039.242283463
1577,175048.493268805
1578,134392.501914198
1579,159471.415573493
1580,188071.951471561
1581,169392.249673364
1582,133832.260619489
1583,304929.493354468
1584,227957.849253102
1585,133544.942659343
1586,55563.894347782
1587,99178.0083735899
1588,137841.199341275
1589,99565.9559935581
1590,134221.039519183
1591,93279.2309756951
1592,117313.429852516
1593,115825.532282277
1594,146922.367914551
1595,129375.714726718
1596,242469.422595249
1597,164268.03609604
1598,226202.663714997
1599,183312.44542765
1600,177852.867025355
1601,66545.8757572838
1602,105523.043072383
1603,72739.7013710442
1604,269408.534934275
1605,232667.49940361
1606,172906.372557573
1607,176593.01365727
1608,216183.146759784
1609,178356.944716974
1610,157412.8672117
1611,132961.510373121
1612,158876.877324909
1613,157529.484241839
1614,133687.728756965
1615,95883.5593457251
1616,78409.5312287223
1617,96304.9334172445
1618,127227.803436098
1619,146194.954897003
1620,162574.79401371
1621,138236.445323899
1622,146559.426059018
1623,255338.021362589
1624,210437.417455523
1625,114825.023803683
1626,174481.125307774
1627,193979.227612774
1628,272389.49693206
1629,186828.196332573
1630,313912.305471327
1631,255328.120460753
1632,226429.340773677
1633,165778.516728887
1634,192722.395631782
1635,174793.567334774
1636,156874.30372619
1637,220710.227586117
1638,175618.327016166
